Town FIP,Town Name,County Name,# COVID19 Deaths,COVID19 Death Rates,Death Rates (Exclude LTC),# COVID19 Cases,COVID19 Case Rates,Case Rates (Exclude LTC),COVID19 Fatality Rates,# LTC Beds,Population Density,% Population (Age<15),% Population (Age 15-44),% Population (Age 45-64),% Population (Age>64),% Population (White),% Population (Black),% Population (Asian),% Population (Hispanic),% Minority,% Below High School Edu.,% Linguistic Isolate,% Below Poverty Level,Gini Index,Median Gross Rent,Median Household Income,Median House Value,% High Occupancy Residence,% Group Quarter Residence,% Population (Disability),% Uninsured,% Unemployed,% Occupation (Wholesale),% Occupation (Retail),% Occupation (Transportation),% Occupation (Health Care),% Occupation (Food Service),% Occupation (High Risk),# Restaurants Per Capita,# Supermarkets Per Capita,% Commute (To Diff. Counties),% Commute (To NY City),% Commute (Public Transport),SVI (Socioeconomic),SVI (Disability),SVI (Minority & Language),SVI (Housing & Transport),SVI (Overall),PM25 Average Conc.,NO2 Average Conc.,Ozone Seasonal DM8HA,Acrolein,Acetaldehyde,Formaldehyde,Diesel PM,Naphthalene,Acrylic Acid,Acrylonitrile,Beryllium,Chlorine,Chromhex,Ethylene Glycol,Hexamethylene Diisocyanate,Hydrochloric Acid,Maleic Anhydride,Methylene Chloride,Methyl Bromide,Nickel,Propionaldehyde,"2,4-Toluene Diisocyanate","4,4P-Methylenediphenyl Diiso.",Inhalation Cancer Risk,Respiratory Hazard Index,NPL Site Proximity,RMP Facility Proximity,TSDF Facility Proximity,Proximity to TWWD,Traffic Proximity,Proximity to Natural Gas EGU,Proximity to Petroleum EGU,Proximity to Biomass EGU,Proximity to Coal EGU,Proximity to Nuclear EGU,Proximity to WFFEGU,DOT Noise Level
0,Newfield Borough,Gloucester,2,131.4924392,131.4924392,20,131.4924392,131.4924392,10,0,873.2446851,15.97633136,36.29191321,29.84878369,17.88297173,93.16239316,2.038132807,0,11.57133465,14.72715319,10.64021641,0.512820513,17.82894737,0.3979,1563,71875,190100,8.152531229,0.328731098,14.79289941,2.892833662,5.106888361,3.484549638,8.415516108,2.761341223,10.71663379,4.207758054,29.58579882,NA,NA,53.18869165,0.131492439,0,0.598230088,0.801769912,0.132743363,0.161061947,0.389380531,8.017491781,17.33076915,42.5705366,0.021928598,0.927704468,1.161858467,0.310234206,0.025981179,5.42E-04,3.17E-04,2.77E-05,8.56E-04,2.27E-05,0.036202313,0,0.097994299,2.68E-05,0.12211863,0.03249793,5.97E-04,0.005347206,2.41E-05,7.56E-05,26.44460467,0.338242544,1.50359227,0.320122765,0.167149412,0,50.59103193,8.144865107,3.32321232,0.397643764,5.088744645,51.84567029,3.680580938,45.26758077
1,Vineland City,Cumberland,57,94.94619715,49.97168271,1369,228.0374454,206.7161942,4.163623083,959,870.2642949,20.60165906,37.80191225,24.90921811,16.68721058,70.88316621,14.23360096,1.270946464,40.86684212,56.82613186,21.78404464,11.09529908,38.57709945,0.4611,1057,54476,167300,19.0525369,3.587966819,14.96879729,9.08534408,7.153889357,1.86061232,4.802278709,1.892261052,7.763933771,3.113235833,19.43232168,0.745069962,0.526170925,20.58833328,0.214878236,0.469733817,0.861946903,0.982300885,0.903539823,0.952212389,0.984070796,7.91901683,17.03096113,42.41291555,0.02276998,0.924340067,1.171871619,0.305722031,0.026653422,6.75E-04,2.56E-04,2.60E-05,8.81E-04,2.82E-05,0.030267173,7.30E-08,0.085445539,2.56E-05,0.155396648,0.029722342,5.49E-04,0.005115727,2.20E-05,6.85E-05,26.08344019,0.33916882,1.020219463,0.250566972,1.499812993,7.48E-06,162.907379,24.80202781,4.415193839,0.584429806,4.983284963,51.15575789,6.395406432,45.66374798
2,Galloway Township,Atlantic,36,99.7395689,38.78761013,509,141.0206683,102.7871668,7.072691552,727,324.4364419,13.09913005,39.92630354,29.64481631,17.3297501,71.43569568,11.77203967,8.289466393,10.9852053,34.9393251,8.24311722,3.317757009,18.99502037,0.4225,1240,74196,210500,20.64886131,8.051199645,12.63831938,5.709711846,6.842473279,0.925361556,4.615725605,1.097135258,7.765833657,12.23472045,26.63877653,0.887266493,0.222141381,13.445448,0.260431097,1.446223749,0.720353982,0.638938053,0.70619469,0.90619469,0.853097345,7.316629643,19.65324762,42.78384657,0.029277334,0.850958982,1.097104395,0.273656086,0.024260869,4.21E-04,4.29E-04,2.04E-05,1.14E-06,1.69E-05,0.018503143,0,0.10884385,0,0.213215455,0.028000597,4.48E-04,0.007107494,1.74E-05,4.86E-05,24.71072375,0.326542551,0.358878215,0.022502336,0.976413586,0,162.5772694,4.636167153,11.74332039,0.534837615,2.707222331,14.25865052,4.943846833,46.84112789
3,Elsinboro Township,Salem,0,0,0,9,85.5513308,85.5513308,0,0,79.99229603,14.25855513,35.36121673,27.09125475,23.28897338,82.88973384,11.78707224,1.330798479,5.133079848,18.72623574,7.593307593,0.235849057,19.77186312,0.3686,1201,88182,213300,9.980988593,0.760456274,12.64258555,3.136882129,9.523809524,4.467680608,6.844106464,2.566539924,8.079847909,5.418250951,27.37642586,0.296941503,NA,44.86692015,0.190114068,0.760456274,0.817699115,0.969911504,0.192920354,0.217699115,0.594690265,8.077693973,15.91999423,43.90158301,0.018571252,0.876509806,1.129468407,0.341670105,0.023492168,1.99E-04,3.23E-04,2.54E-05,8.67E-04,2.99E-05,0.034177878,1.12E-06,0.119259385,1.08E-05,0.256935786,0.040514444,8.20E-04,0.004571267,3.20E-05,9.64E-05,27.25016142,0.329346487,0.078956364,0.134061048,0.112939949,33.99651447,2.364369669,4.468030316,0.592109861,0.171333594,14.4620547,128.9000007,4.988432375,45.0168762
4,Quinton Township,Salem,0,0,0,22,96.57594381,96.57594381,0,0,93.91338907,12.9499561,38.76207199,29.10447761,19.18349429,81.34328358,16.19841967,0,6.101843723,22.6953468,9.575104728,1.595744681,29.90325418,0.3883,1151,64500,178700,6.01404741,0.219490781,17.4714662,4.741000878,7.047279215,2.502194908,6.277436348,2.458296752,9.877085162,3.116769096,24.23178227,0.300523578,0.286646675,38.58647937,0.131694469,0,0.502654867,0.985840708,0.251327434,0.22300885,0.500884956,8.042577534,15.18500364,43.5831732,0.018941635,0.877188892,1.121149159,0.296679782,0.022987558,2.76E-04,4.00E-04,2.64E-05,9.19E-04,2.72E-05,0.028771543,1.05E-06,0.114905411,5.07E-05,0.22587556,0.038680796,7.40E-04,0.004021699,2.73E-05,7.41E-05,26.5303782,0.321336703,0.046542713,0.08061456,0.062563437,0,45.96462394,4.838449071,0.823247057,0.274187076,11.29777114,75.56749944,4.23269423,45.20546243
5,Beach Haven Borough,Ocean,0,0,0,17,155.9633028,155.9633028,0,0,467.4742505,7.706422018,23.11926606,35.32110092,33.85321101,96.78899083,0.733944954,1.559633028,1.100917431,3.577981651,0.640341515,1.328273245,16.95852535,0.5012,1313,97083,760100,6.880733945,0.458715596,13.21100917,3.394495413,7.558139535,1.559633028,6.697247706,1.559633028,5.04587156,4.678899083,19.5412844,6.646438376,1.011414535,26.33027523,1.467889908,1.100917432,0.704424779,0.382300885,0.056637168,0.686725664,0.442477876,6.982780877,20.16489142,43.4579634,0.019323872,0.743203605,0.930098474,0.330581121,0.01946252,4.34E-04,1.55E-04,1.58E-05,2.11E-06,2.36E-05,0.010464407,0,0.083928693,0,0.201817886,0.028000287,6.21E-04,0.004206352,1.24E-05,2.64E-05,21.38226455,0.274465851,0.037333173,0.017975783,0.088193115,0,128.26627,2.331914707,0.183271687,0.16301035,2.115937444,22.84796172,1.036621953,45.34942151
6,Salem City,Salem,1,20.91612633,20.91612633,69,144.3212717,144.3212717,1.449275362,0,1737.200289,30.51662832,34.05145367,19.91215227,15.51976574,31.91800878,60.30119222,0.271909642,12.46601129,76.44844175,17.52224504,2.306866953,63.06268406,0.5317,869,24926,82500,19.2219201,0.564735411,22.33842292,5.01987032,14.62814997,2.635431918,5.814683121,4.141393014,8.366450533,3.99498013,24.95293872,0.296941503,NA,39.238653,0.313741895,1.610541728,0.987610619,1,0.800884956,0.867256637,0.97699115,8.151540624,16.27204861,43.76115894,0.019498027,0.905242556,1.144516214,0.34649678,0.025066206,1.78E-04,3.33E-04,2.50E-05,7.52E-04,2.55E-05,0.036007592,1.19E-06,0.09086982,4.83E-05,0.216262735,0.043225325,7.96E-04,0.005139676,3.00E-05,9.51E-05,26.75575045,0.332449217,0.067140491,0.111923776,0.111923776,2.06E-05,270.624437,5.082843238,0.619278532,0.23149029,17.17096531,93.72622164,5.875187357,45.56671622
7,Hamilton Township,Atlantic,8,30.80121665,30.80121665,346,133.215262,132.0602164,2.312138728,78,230.0040683,19.71662881,38.3013129,28.54887768,13.43318061,61.18276672,15.63931775,9.074808455,15.49686213,43.80318023,8.158324419,3.048281506,24.3835725,0.4142,1439,74329,211900,12.84025719,2.548800678,12.66837843,6.107051155,10.21714922,1.289800947,5.871481924,1.31290186,8.793747353,9.78708659,27.05501867,1.006301809,0.336134454,19.17375736,0.227158973,0.85088361,0.789380531,0.815929204,0.69380531,0.807079646,0.884955752,7.544249881,19.10703257,42.41226904,0.026386207,0.934977787,1.179590484,0.252439594,0.024309112,6.12E-04,2.10E-04,1.99E-05,2.81E-04,1.89E-05,0.020685992,0,0.091600167,6.57E-06,0.205311704,0.028000322,4.41E-04,0.004740067,1.82E-05,5.46E-05,25.91557497,0.337602175,0.48864196,0.035242145,0.346383808,1.14E-05,253.5170855,2.710796376,1.068944824,0.207644915,3.595188904,10.37286241,1.77919338,46.8346353
8,Buena Vista Township,Atlantic,1,13.70801919,13.70801919,55,75.39410555,75.39410555,1.818181818,0,175.4664166,17.62851268,36.65524332,26.84030158,18.87594243,83.7834133,10.25359836,0.918437286,13.2830706,27.51199452,17.82430053,0,26.27747253,0.3738,1230,62994,186300,10.54146676,0.356408499,13.52981494,7.128169979,14.88222698,1.782042495,5.483207676,1.987662783,5.551747772,4.194653873,18.9993146,1.113642799,0.320940409,27.96435915,0.205620288,1.055517478,0.955752212,0.907964602,0.619469027,0.495575221,0.856637168,7.796948219,16.61904123,42.35398105,0.028848868,0.95259697,1.198556483,0.254709906,0.030999435,0.001573802,2.79E-04,2.08E-05,7.15E-04,1.94E-05,0.023966925,0,0.08125685,2.22E-05,0.197883851,0.028000264,4.64E-04,0.004090616,1.94E-05,5.82E-05,26.84660133,0.373835171,0.313464251,0.069133809,0.214859491,1.17E-04,26.51160503,4.277314738,1.638275335,0.260957535,4.048667109,42.26361802,2.310444957,45.20353696
9,Elmer Borough,Salem,0,0,0,11,76.60167131,76.60167131,0,0,1581.631863,16.85236769,43.24512535,25.62674095,14.27576602,92.54874652,1.183844011,1.671309192,3.133704735,8.635097493,4.564315353,1.616161616,15.13665032,0.322,1296,77734,192200,12.88300836,0.348189415,11.0724234,7.799442897,4.135338346,3.760445682,7.381615599,2.994428969,9.540389972,3.690807799,27.36768802,0.572878304,NA,50.13927577,0.278551532,0,0.327433628,0.989380531,0.186725664,0.146902655,0.371681416,8.161150959,15.24161729,42.99754902,0.018486951,0.886673116,1.117642832,0.305139613,0.02358112,2.64E-04,5.45E-04,2.84E-05,0.001091017,2.64E-05,0.037978235,6.93E-07,0.117540712,4.42E-05,0.22701075,0.035641001,7.11E-04,0.004221241,2.49E-05,7.14E-05,25.9944719,0.324016828,0.078817095,0.086944281,0.098009404,0,183.4796713,5.125737986,1.480900913,0.298388459,8.401322352,34.24598088,3.640994491,45.61841944
